[2025-11-13T23:02:01.271Z] [INFO] === CareerCompassi Enhancement Script Started ===
[2025-11-13T23:02:01.285Z] [INFO] Processing: /Users/yasiinali/careercompassi/data/careers-fi.ts
[2025-11-13T23:02:01.287Z] [INFO] File read successfully: 1036674 characters
[2025-11-13T23:02:01.289Z] [INFO] Backup created: /Users/yasiinali/careercompassi/data/careers-fi.backup.ts
[2025-11-13T23:02:01.300Z] [INFO] Enhanced impact for: upseeri
[2025-11-13T23:02:01.300Z] [INFO] Enhanced employers for: upseeri
[2025-11-13T23:02:01.300Z] [INFO] Enhanced impact for: markkinointisuunnittelija
[2025-11-13T23:02:01.300Z] [INFO] Enhanced employers for: markkinointisuunnittelija
[2025-11-13T23:02:01.301Z] [INFO] Enhanced impact for: liikuntaneuvoja
[2025-11-13T23:02:01.301Z] [INFO] Enhanced employers for: liikuntaneuvoja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: liikuntaterapeutti
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: liikuntaterapeutti
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: liiketalousjohtaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: liiketalousjohtaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: yritysneuvoja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: yritysneuvoja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: sisaltotuottaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: sisaltotuottaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: myyntipaallikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: myyntipaallikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: ohjelmistokehittaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: ohjelmistokehittaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: tekoalyasiantuntija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: tekoalyasiantuntija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: tietojarjestelma-arkkitehti
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: tietojarjestelma-arkkitehti
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: verkkosuunnittelija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: verkkosuunnittelija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: fyysikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: fyysikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: matemaatikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: matemaatikko
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: biologi
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: biologi
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: elintarviketutkija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: elintarviketutkija
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: asianajaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: asianajaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: oikeusneuvos
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: oikeusneuvos
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: notaari
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: notaari
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: kustannustoimittaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: kustannustoimittaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: luokanopettaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: luokanopettaja
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: sosiaalityöntekijä
[2025-11-13T23:02:01.302Z] [INFO] Enhanced employers for: sosiaalityöntekijä
[2025-11-13T23:02:01.302Z] [INFO] Enhanced impact for: psykologi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: psykologi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: fysioterapeutti
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: fysioterapeutti
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: lastentarhanopettaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: lastentarhanopettaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: kuntoutusohjaaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: kuntoutusohjaaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: perhetyöntekijä
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: perhetyöntekijä
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: vanhustenhoitaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: vanhustenhoitaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: kriisityöntekijä
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: kriisityöntekijä
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: ympäristöinsinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: ympäristöinsinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: ilmastotutkija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: ilmastotutkija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: luonnonsuojelija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: luonnonsuojelija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: uusiutuva-energia-insinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: uusiutuva-energia-insinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: ympäristökasvattaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: ympäristökasvattaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: vesi-insinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: vesi-insinööri
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: hiilijalanjälki-asiantuntija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: hiilijalanjälki-asiantuntija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: ympäristöjuristi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: ympäristöjuristi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: biologinen-monimuotoisuus-asiantuntija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: biologinen-monimuotoisuus-asiantuntija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: kestävän-kehityksen-koordinaattori
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: kestävän-kehityksen-koordinaattori
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: futuristi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: futuristi
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: strategia-konsultti
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: strategia-konsultti
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: innovaatiojohtaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: innovaatiojohtaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: tulevaisuuden-suunnittelija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: tulevaisuuden-suunnittelija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: digitaalinen-muutosjohtaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: digitaalinen-muutosjohtaja
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: tulevaisuuden-tutkija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced employers for: tulevaisuuden-tutkija
[2025-11-13T23:02:01.303Z] [INFO] Enhanced impact for: strateginen-suunnittelija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: strateginen-suunnittelija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: tulevaisuuden-visio-johtaja
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: tulevaisuuden-visio-johtaja
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: tulevaisuuden-teknologia-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: tulevaisuuden-teknologia-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: tulevaisuuden-yhteiskunta-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: tulevaisuuden-yhteiskunta-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: tapahtumakoordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: tapahtumakoordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: toimistosihteeri
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: toimistosihteeri
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: logistiikkakoordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: logistiikkakoordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: henkilöstöasiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: henkilöstöasiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: taloushallinnon-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: taloushallinnon-asiantuntija
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: laadunhallinnan-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: laadunhallinnan-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: asiakaspalvelun-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: asiakaspalvelun-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: tietohallinnon-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: tietohallinnon-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced impact for: hallinnon-koordinaattori
[2025-11-13T23:02:01.304Z] [INFO] Enhanced employers for: hallinnon-koordinaattori
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: lapsenhoitaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: lapsenhoitaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: apteekkari
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: apteekkari
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: tietoturva-asiantuntija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: tietoturva-asiantuntija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: tietokantasuunnittelija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: tietokantasuunnittelija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: verkkoasiantuntija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: verkkoasiantuntija
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: rakennusinsinoori
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: rakennusinsinoori
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: puuseppä
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: puuseppä
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: varhaiskasvatuksen-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: varhaiskasvatuksen-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: ammattikoulun-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: ammattikoulun-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: kielten-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: kielten-opettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: erityisopettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: erityisopettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: kuorma-auton-kuljettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: kuorma-auton-kuljettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: varastotyöntekijä
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: varastotyöntekijä
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: jakelukuljettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: jakelukuljettaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: kuljetuskoordinaattori
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: kuljetuskoordinaattori
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: sähköasentaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: sähköasentaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: energiainsinööri
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: energiainsinööri
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: aurinkoenergia-asentaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: aurinkoenergia-asentaja
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: energiakonsultti
[2025-11-13T23:02:01.305Z] [INFO] Enhanced employers for: energiakonsultti
[2025-11-13T23:02:01.305Z] [INFO] Enhanced impact for: energia-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: energia-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: digitaalisen-markkinoinnin-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: digitaalisen-markkinoinnin-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: brändisuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: brändisuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: ympäristöasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: ympäristöasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: tuotesuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: tuotesuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: viestintapaallikko
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: viestintapaallikko
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: data-analyytikko
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: data-analyytikko
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: hr-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: hr-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: liiketoimintakehittäjä
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: liiketoimintakehittäjä
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: koulutussuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: koulutussuunnittelija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: tuotepäällikkö
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: tuotepäällikkö
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: konsultti
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: konsultti
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: tutkimusasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: tutkimusasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: laadunvalvonta-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: laadunvalvonta-asiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: asiakasvastaava
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: asiakasvastaava
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: tietojärjestelmäasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: tietojärjestelmäasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: talousasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: talousasiantuntija
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: henkilöstökoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: henkilöstökoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: myyntiedustaja
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: myyntiedustaja
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: markkinointikoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: markkinointikoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: projektikoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: projektikoordinaattori
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: asiakaspalveluedustaja
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: asiakaspalveluedustaja
[2025-11-13T23:02:01.306Z] [INFO] Enhanced impact for: sisällöntuottaja
[2025-11-13T23:02:01.306Z] [INFO] Enhanced employers for: sisällöntuottaja
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: mobiilisovelluskehittäjä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: mobiilisovelluskehittäjä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: tekoäly-asiantuntija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: tekoäly-asiantuntija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: tuotantoteknikko
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: tuotantoteknikko
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: teollisuusinsinoori
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: teollisuusinsinoori
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: asiakaspalvelu-asiantuntija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: asiakaspalvelu-asiantuntija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: hotellityontekija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: hotellityontekija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: ravintolatyöntekijä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: ravintolatyöntekijä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: siivooja
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: siivooja
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: turvallisuusvastaava
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: turvallisuusvastaava
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: pankkivirkailija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: pankkivirkailija
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: rahoitusneuvonantaja
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: rahoitusneuvonantaja
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: vakuutusasiamies
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: vakuutusasiamies
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: kirjanpitäjä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: kirjanpitäjä
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: rahoitusanalyytikko
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: rahoitusanalyytikko
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: laakari
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: laakari
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: hammaslaakari
[2025-11-13T23:02:01.307Z] [INFO] Enhanced employers for: hammaslaakari
[2025-11-13T23:02:01.307Z] [INFO] Enhanced impact for: elainlaakari
